Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatW,QuatX,QuatY,QuatZ
1913,00:00:15.310,IMU2,1.38,-7.13,6.51,0.0,0.0,0.0,1.12,1.69,-36.81,0.03,-0.41,0.91,0.1
1913,00:00:15.310,IMU6,1.25,-0.77,9.74,0.0,0.0,0.0,-4.0,-21.69,-38.62,-0.06,0.04,-1.0,0.01
1913,00:00:15.310,IMU4,1.99,0.74,9.55,0.0,0.0,0.0,18.81,7.25,-35.5,0.09,-0.06,0.56,0.82
1913,00:00:15.310,IMU3,-6.46,1.11,-6.91,0.0,0.0,0.0,2.19,-4.38,34.88,-0.77,0.51,0.34,0.15
2871,00:00:19.053,IMU7,1.78,3.45,-9.2,0.0,0.0,0.0,22.12,8.69,26.69,0.47,0.86,0.2,0.01
2871,00:00:19.053,IMU5,6.85,-0.44,7.09,0.0,0.0,0.0,5.69,-12.25,-36.31,0.31,-0.21,0.79,0.48
2871,00:00:19.053,IMU1,9.34,1.36,3.12,0.0,0.0,0.0,-18.31,12.81,-26.12,0.28,-0.51,0.28,0.76
2872,00:00:19.061,IMU7,1.78,3.45,-9.2,0.0,0.0,0.0,22.12,8.69,26.69,0.47,0.86,0.2,0.01
2872,00:00:19.061,IMU5,6.85,-0.44,7.09,0.0,0.0,0.0,5.69,-12.25,-36.31,0.31,-0.21,0.79,0.48
2872,00:00:19.061,IMU1,9.34,1.36,3.12,0.0,0.0,0.0,-18.31,12.81,-26.12,0.28,-0.51,0.28,0.76
2873,00:00:19.064,IMU7,1.78,3.45,-9.2,0.0,0.0,0.0,22.12,8.69,26.69,0.47,0.86,0.2,0.01
2873,00:00:19.064,IMU5,6.81,-0.44,7.1,0.0,0.0,0.0,5.69,-12.25,-36.31,0.31,-0.21,0.79,0.48
2873,00:00:19.064,IMU1,9.34,1.36,3.12,0.0,0.0,0.0,-18.31,12.81,-26.12,0.28,-0.51,0.28,0.76
1914,00:00:15.316,IMU2,1.38,-7.13,6.51,0.0,0.0,0.0,1.12,1.69,-36.81,0.03,-0.41,0.91,0.1
1914,00:00:15.316,IMU6,1.25,-0.77,9.74,0.0,0.0,0.0,-4.0,-21.69,-38.62,-0.06,0.04,-1.0,0.01
1914,00:00:15.316,IMU4,1.99,0.74,9.55,0.0,0.0,0.0,18.81,7.25,-35.5,0.09,-0.06,0.56,0.82
1914,00:00:15.316,IMU3,-6.46,1.11,-6.91,0.0,0.0,0.0,2.19,-4.38,34.88,-0.77,0.51,0.34,0.15
1915,00:00:15.321,IMU2,1.34,-7.13,6.51,0.0,0.0,0.0,1.12,1.69,-36.81,0.03,-0.41,0.91,0.1
1915,00:00:15.321,IMU6,1.25,-0.77,9.74,0.0,0.0,0.0,-4.0,-21.69,-38.62,-0.06,0.04,-1.0,0.01
1915,00:00:15.321,IMU4,1.99,0.74,9.55,0.0,0.0,0.0,18.44,7.62,-34.69,0.09,-0.06,0.56,0.82
1915,00:00:15.321,IMU3,-6.46,1.11,-6.91,0.0,0.0,0.0,2.19,-4.38,34.88,-0.77,0.51,0.34,0.15
2874,00:00:19.069,IMU7,1.78,3.45,-9.2,0.0,0.0,0.0,22.12,8.69,26.69,0.47,0.86,0.2,0.01
2874,00:00:19.069,IMU5,6.81,-0.44,7.1,0.0,-0.0,-0.0,5.69,-12.25,-36.31,0.31,-0.21,0.79,0.48
