Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatW,QuatX,QuatY,QuatZ
6136,00:00:38.143,IMU3,0.24,0.05,9.77,0.0,0.0,-0.0,17.81,-19.19,-37.81,0.01,-0.01,0.79,0.61
6136,00:00:38.143,IMU4,0.23,0.06,9.84,0.01,0.0,0.0,5.88,-4.88,-21.44,0.02,-0.01,0.83,0.56
7050,00:00:38.150,IMU5,0.03,0.29,9.79,0.0,0.0,0.0,32.06,-15.12,-20.88,0.01,0.01,0.73,0.68
7050,00:00:38.150,IMU6,0.29,0.09,9.82,0.0,0.0,0.0,25.88,-12.38,-16.0,0.01,-0.01,0.77,0.63
7050,00:00:38.150,IMU7,0.57,0.19,9.87,0.0,0.0,0.0,19.06,-12.06,-17.06,0.03,-0.01,0.7,0.72
7051,00:00:38.153,IMU5,0.07,0.32,9.79,0.0,0.0,0.0,32.06,-15.12,-20.88,0.01,0.01,0.73,0.68
7051,00:00:38.153,IMU6,0.29,0.09,9.82,0.0,0.0,0.0,25.88,-12.38,-16.0,0.01,-0.01,0.77,0.63
7051,00:00:38.153,IMU7,0.57,0.19,9.87,0.0,0.0,0.0,17.94,-10.62,-18.56,0.03,-0.01,0.7,0.72
7052,00:00:38.156,IMU5,0.07,0.32,9.79,0.0,0.0,0.0,32.75,-14.31,-20.81,0.01,0.01,0.73,0.68
7052,00:00:38.156,IMU6,0.29,0.09,9.82,0.0,0.0,0.0,25.88,-12.38,-16.0,0.01,-0.01,0.77,0.63
7052,00:00:38.156,IMU7,0.57,0.19,9.87,0.0,0.0,0.0,17.94,-10.62,-18.56,0.03,-0.01,0.7,0.72
6137,00:00:38.148,IMU1,0.34,-0.03,9.79,0.0,0.0,0.0,32.38,-16.62,-40.5,0.02,-0.01,0.79,0.61
6137,00:00:38.148,IMU2,0.24,0.11,9.79,0.0,0.0,0.0,28.5,-31.25,-47.62,0.01,-0.0,0.78,0.63
6137,00:00:38.148,IMU3,0.24,0.05,9.77,0.0,0.0,-0.0,17.81,-19.19,-37.81,0.01,-0.01,0.79,0.61
6137,00:00:38.148,IMU4,0.23,0.06,9.84,0.01,0.0,0.0,5.88,-4.88,-21.44,0.02,-0.01,0.83,0.56
7053,00:00:38.161,IMU5,0.07,0.32,9.79,0.0,0.0,0.0,32.75,-14.31,-20.81,0.01,0.01,0.73,0.68
7053,00:00:38.161,IMU6,0.29,0.09,9.82,0.0,0.0,0.0,25.88,-12.38,-16.0,0.01,-0.01,0.77,0.63
7053,00:00:38.161,IMU7,0.57,0.19,9.87,0.0,0.0,0.0,17.94,-10.62,-18.56,0.03,-0.01,0.7,0.72
6138,00:00:38.153,IMU1,0.34,-0.03,9.79,0.0,0.0,0.0,32.38,-16.62,-40.5,0.02,-0.01,0.79,0.61
6138,00:00:38.153,IMU2,0.24,0.11,9.79,0.0,0.0,0.0,28.5,-31.25,-47.62,0.01,-0.0,0.78,0.63
6138,00:00:38.153,IMU3,0.24,0.05,9.77,0.0,0.0,-0.0,17.81,-19.19,-37.81,0.01,-0.01,0.79,0.61
6138,00:00:38.153,IMU4,0.23,0.06,9.84,0.0,0.0,0.0,5.88,-4.88,-21.44,0.02,-0.01,0.83,0.56
6139,00:00:38.158,IMU1,0.34,-0.03,9.79,0.0,0.0,0.0,32.38,-16.62,-40.5,0.02,-0.01,0.79,0.61
6139,00:00:38.158,IMU2,0.24,0.11,9.79,0.0,0.0,0.0,28.5,-31.25,-47.62,0.01,-0.0,0.78,0.63
6139,00:00:38.158,IMU3,0.24,0.05,9.77,-0.01,-0.0,0.0,17.81,-19.19,-37.81,0.01,-0.01,0.79,0.61
6139,00:00:38.158,IMU4,0.23,0.06,9.84,0.0,0.0,0.0,5.88,-4.88,-21.44,0.02,-0.01,0.83,0.56
6140,00:00:38.163,IMU1,0.34,-0.03,9.79,0.0,0.0,0.0,32.38,-16.62,-40.5,0.02,-0.01,0.79,0.61
6140,00:00:38.163,IMU2,0.24,0.11,9.79,0.0,0.0,0.0,28.5,-31.25,-47.62,0.01,-0.0,0.78,0.63
6140,00:00:38.163,IMU3,0.24,0.05,9.77,-0.01,-0.0,0.0,17.81,-19.19,-37.81,0.01,-0.01,0.79,0.61
6140,00:00:38.163,IMU4,0.23,0.06,9.84,0.0,-0.0,0.0,5.88,-4.88,-21.44,0.02,-0.01,0.83,0.56
6141,00:00:38.167,IMU1,0.34,0.01,9.83,0.0,0.0,0.0,32.38,-16.62,-40.5,0.02,-0.01,0.79,0.61
6141,00:00:38.167,IMU2,0.28,0.14,9.79,0.0,0.0,0.0,28.5,-31.25,-47.62,0.01,-0.0,0.78,0.63
6141,00:00:38.167,IMU3,0.24,0.12,9.77,-0.01,-0.0,0.0,17.81,-19.19,-37.81,0.01,-0.01,0.79,0.61
6141,00:00:38.167,IMU4,0.23,0.06,9.84,0.0,-0.0,0.0,5.88,-4.88,-21.44,0.02,-0.01,0.83,0.56
6142,00:00:38.175,IMU1,0.34,0.01,9.83,0.0,0.0,0.0,31.38,-16.5,-39.0,0.02,-0.01,0.79,0.61
6142,00:00:38.175,IMU2,0.28,0.14,9.79,0.0,0.0,0.0,27.38,-32.19,-45.69,0.01,-0.0,0.78,0.63
6142,00:00:38.175,IMU3,0.24,0.12,9.77,-0.01,-0.0,0.0,18.5,-18.38,-39.12,0.01,-0.01,0.79,0.61
6142,00:00:38.175,IMU4,0.23,0.06,9.84,0.0,0.0,0.01,5.88,-4.88,-21.44,0.02,-0.01,0.83,0.56
7054,00:00:38.166,IMU5,0.07,0.32,9.79,0.0,0.0,0.0,32.75,-14.31,-20.81,0.01,0.01,0.73,0.68
7054,00:00:38.166,IMU6,0.29,0.09,9.82,0.0,0.0,0.0,25.88,-12.38,-16.0,0.01,-0.01,0.77,0.63
7054,00:00:38.166,IMU7,0.57,0.19,9.87,0.0,0.0,0.0,17.94,-10.62,-18.56,0.03,-0.01,0.7,0.72
7055,00:00:38.172,IMU5,0.07,0.32,9.79,0.0,0.0,0.0,32.75,-14.31,-20.81,0.01,0.01,0.73,0.68
7055,00:00:38.172,IMU6,0.25,0.09,9.78,0.0,0.0,0.0,25.88,-12.38,-16.0,0.01,-0.01,0.77,0.63
7055,00:00:38.172,IMU7,0.57,0.19,9.87,0.0,0.0,0.0,17.94,-10.62,-18.56,0.03,-0.01,0.7,0.72
7056,00:00:38.179,IMU5,0.07,0.32,9.79,0.0,0.0,0.0,32.75,-14.31,-20.81,0.01,0.01,0.73,0.68
7056,00:00:38.179,IMU6,0.25,0.09,9.78,0.0,0.0,0.0,25.88,-12.38,-16.0,0.01,-0.01,0.77,0.63
7056,00:00:38.179,IMU7,0.57,0.19,9.87,0.0,0.0,0.0,17.94,-10.62,-18.56,0.03,-0.01,0.7,0.72
7057,00:00:38.182,IMU5,0.07,0.32,9.79,-0.0,0.0,0.0,32.75,-14.31,-20.81,0.01,0.01,0.73,0.68
7057,00:00:38.182,IMU6,0.25,0.09,9.78,0.0,0.0,0.0,26.31,-12.69,-16.0,0.01,-0.01,0.77,0.63
7057,00:00:38.182,IMU7,0.57,0.19,9.87,0.0,0.0,0.0,17.94,-10.62,-18.56,0.03,-0.01,0.7,0.72
7058,00:00:38.189,IMU5,0.07,0.32,9.79,-0.0,0.0,0.0,32.75,-14.31,-20.81,0.01,0.01,0.73,0.68
7058,00:00:38.189,IMU6,0.25,0.09,9.78,0.0,0.0,0.0,26.31,-12.69,-16.0,0.01,-0.01,0.77,0.63
7058,00:00:38.189,IMU7,0.57,0.19,9.87,0.0,0.0,0.0,17.94,-10.62,-18.56,0.03,-0.01,0.7,0.72
6143,00:00:38.178,IMU1,0.34,0.01,9.83,0.0,0.0,0.0,31.38,-16.5,-39.0,0.02,-0.01,0.79,0.61
6143,00:00:38.178,IMU2,0.28,0.14,9.79,0.0,0.0,0.0,27.38,-32.19,-45.69,0.01,-0.0,0.78,0.63
6143,00:00:38.178,IMU3,0.24,0.12,9.77,0.0,-0.0,0.0,18.5,-18.38,-39.12,0.01,-0.01,0.79,0.61
6143,00:00:38.178,IMU4,0.23,0.06,9.84,0.0,0.0,0.01,5.88,-4.88,-21.44,0.02,-0.01,0.83,0.56
6144,00:00:38.182,IMU1,0.34,0.01,9.83,0.0,0.0,0.0,31.38,-16.5,-39.0,0.02,-0.01,0.79,0.61
6144,00:00:38.182,IMU2,0.28,0.14,9.79,0.0,0.0,0.0,27.38,-32.19,-45.69,0.01,-0.0,0.78,0.63
6144,00:00:38.182,IMU3,0.24,0.12,9.77,0.0,-0.0,0.0,18.5,-18.38,-39.12,0.01,-0.01,0.79,0.61
6144,00:00:38.182,IMU4,0.31,0.06,9.84,0.0,0.0,0.01,5.88,-4.88,-21.44,0.02,-0.01,0.83,0.56
6145,00:00:38.189,IMU1,0.34,0.01,9.83,0.0,0.0,0.0,31.38,-16.5,-39.0,0.02,-0.01,0.79,0.61
6145,00:00:38.189,IMU2,0.28,0.14,9.79,0.0,0.0,0.0,27.38,-32.19,-45.69,0.01,-0.0,0.78,0.63
6145,00:00:38.189,IMU3,0.24,0.12,9.77,-0.0,0.0,-0.0,18.5,-18.38,-39.12,0.01,-0.01,0.79,0.61
6145,00:00:38.189,IMU4,0.31,0.06,9.84,0.0,0.0,0.01,4.06,-2.06,-22.0,0.02,-0.01,0.83,0.56
