Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW,DeviceName
30684,00:02:17,IMU3,0.00,0.00,0.00,-0.27,0.04,9.58,14.06,-11.88,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30685,00:02:17,IMU1,0.00,0.00,0.00,0.19,-6.44,7.39,12.56,11.06,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30685,00:02:17,IMU2,0.00,0.00,0.00,1.88,-5.40,8.12,-5.81,16.38,-17.25,-0.29,-0.06,-0.12,0.95,Left_Leg
30685,00:02:17,IMU3,0.00,0.00,-0.00,-0.27,0.04,9.58,14.06,-11.88,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30686,00:02:17,IMU1,-0.00,-0.00,0.01,0.19,-6.44,7.39,12.56,11.06,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
28963,00:02:08,IMU4,-0.00,-0.00,0.00,-0.11,6.45,7.14,35.69,-23.81,-31.81,0.27,0.24,0.61,0.71,Right_Leg
28963,00:02:08,IMU5,0.00,0.00,0.00,0.34,-3.87,9.00,-11.56,-20.62,-22.88,-0.07,0.19,-0.94,0.27,Right_Leg
28963,00:02:08,IMU6,0.00,0.00,0.00,0.77,0.00,9.50,22.81,-10.06,-15.62,0.03,-0.02,0.81,0.58,Right_Leg
28964,00:02:08,IMU4,-0.00,-0.00,0.00,-0.15,6.53,7.18,35.69,-23.81,-31.81,0.27,0.24,0.61,0.71,Right_Leg
28964,00:02:08,IMU5,0.00,0.00,0.00,0.34,-3.87,9.00,-11.56,-20.62,-22.88,-0.07,0.19,-0.94,0.27,Right_Leg
28964,00:02:08,IMU6,0.00,0.00,0.00,0.77,0.00,9.50,22.81,-10.06,-15.62,0.03,-0.02,0.81,0.58,Right_Leg
28960,00:02:08,IMU4,-0.00,-0.00,0.01,-0.11,6.45,7.14,35.69,-23.81,-31.81,0.27,0.24,0.61,0.71,Right_Leg
28960,00:02:08,IMU5,0.00,0.00,0.00,0.34,-3.87,9.00,-11.56,-20.62,-22.88,-0.07,0.19,-0.94,0.27,Right_Leg
