Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ,Time_s,GlobalAx,GlobalAy,GlobalAz,Stationary,VelX,VelY,VelZ,PosX,PosY,PosZ
88,8.63,-1.56,4.39,-0.06,-0.01,0.02,-26.06,11.25,7.06,0.84,-0.09,-0.53,-0.01,0.088,-0.3417850000000002,-0.13752799999999998,-0.06166499999999964,True,0.0,0.0,0.0,0.0,0.0,0.0
89,8.63,-1.56,4.39,-0.07,-0.02,0.03,-26.06,11.25,7.06,0.84,-0.09,-0.54,-0.01,0.089,-0.5106860000000006,-0.1378079999999997,0.03603399999999901,True,0.0,0.0,0.0,0.0,0.0,0.0
90,8.62,-1.66,4.2,-0.07,-0.03,0.04,-26.06,11.25,7.06,0.84,-0.09,-0.54,-0.01,0.09,-0.3542800000000015,-0.26829199999999975,-0.03615600000000185,True,0.0,0.0,0.0,0.0,0.0,0.0
91,8.61,-1.59,4.05,-0.06,-0.03,0.04,-26.06,11.25,7.06,0.84,-0.09,-0.54,-0.01,0.091,-0.21471000000000107,-0.22416599999999975,-0.11597400000000135,True,0.0,0.0,0.0,0.0,0.0,0.0
92,8.63,-1.51,4.02,-0.04,-0.01,0.05,-25.88,11.56,6.75,0.84,-0.09,-0.54,-0.01,0.092,-0.16998800000000047,-0.1482979999999997,-0.12120600000000081,True,0.0,0.0,0.0,0.0,0.0,0.0
93,8.65,-1.39,4.02,-0.03,0.01,0.04,-25.88,11.56,6.75,0.84,-0.09,-0.54,-0.01,0.093,-0.14786800000000033,-0.028009999999999535,-0.11987400000000115,True,0.0,0.0,0.0,0.0,0.0,0.0
94,8.65,-1.39,4.02,0.01,0.03,0.05,-25.88,11.56,6.75,0.84,-0.09,-0.54,-0.01,0.094,-0.14786800000000033,-0.028009999999999535,-0.11987400000000115,True,0.0,0.0,0.0,0.0,0.0,0.0
95,8.8,-1.04,4.05,0.06,0.03,0.04,-25.88,11.56,6.75,0.84,-0.09,-0.53,-0.01,0.095,0.09224199999999971,0.3295380000000001,-0.12478100000000047,True,0.0,0.0,0.0,0.0,0.0,0.0
96,8.87,-0.94,4.11,0.1,0.03,0.05,-25.88,11.56,6.75,0.84,-0.09,-0.53,-0.01,0.096,0.08043499999999826,0.44257800000000014,-0.05138500000000157,True,0.0,0.0,0.0,0.0,0.0,0.0
97,8.93,-0.9,4.12,0.11,0.01,0.08,-24.87,11.69,7.56,0.84,-0.09,-0.53,-0.01,0.097,0.10199899999999884,0.48804400000000003,0.0006899999999987472,True,0.0,0.0,0.0,0.0,0.0,0.0
98,9.0,-0.98,4.17,0.1,-0.0,0.12,-24.87,11.69,7.56,0.84,-0.09,-0.53,-0.01,0.098,0.07888199999999879,0.4233720000000001,0.0952269999999995,True,0.0,0.0,0.0,0.0,0.0,0.0
99,9.0,-0.98,4.17,0.1,-0.0,0.12,-24.87,11.69,7.56,0.84,-0.09,-0.53,-0.01,0.099,0.07888199999999879,0.4233720000000001,0.0952269999999995,True,0.0,0.0,0.0,0.0,0.0,0.0
100,9.03,-1.17,4.21,0.1,-0.05,0.22,-24.87,11.69,7.56,0.84,-0.09,-0.54,-0.0,0.1,-0.12147300000000127,0.35702100000000037,0.2677589999999981,True,0.0,0.0,0.0,0.0,0.0,0.0
101,8.9,-1.19,4.04,0.12,-0.07,0.24,-25.25,11.56,7.19,0.84,-0.09,-0.54,-0.0,0.101,-0.02406600000000081,0.29889900000000025,0.08384399999999914,True,0.0,0.0,0.0,0.0,0.0,0.0
102,8.81,-1.2,3.93,0.14,-0.07,0.24,-25.25,11.56,7.19,0.84,-0.09,-0.54,0.0,0.102,0.03676499999999905,0.2636280000000004,-0.040941000000000116,True,0.0,0.0,0.0,0.0,0.0,0.0
103,8.73,-1.15,3.81,0.18,-0.06,0.24,-25.25,11.56,7.19,0.84,-0.09,-0.54,0.0,0.103,0.11672099999999919,0.2871630000000004,-0.16978500000000096,True,0.0,0.0,0.0,0.0,0.0,0.0
104,8.74,-0.99,3.71,0.22,-0.04,0.22,-25.25,11.56,7.19,0.84,-0.09,-0.54,0.0,0.104,0.22721399999999914,0.4312710000000002,-0.22549500000000045,True,0.0,0.0,0.0,0.0,0.0,0.0
105,8.83,-1.0,3.7,0.27,-0.01,0.21,-25.25,11.56,7.19,0.84,-0.09,-0.54,0.0,0.105,0.27330299999999896,0.4286160000000002,-0.1463940000000008,True,0.0,0.0,0.0,0.0,0.0,0.0
106,8.83,-1.0,3.7,0.31,0.02,0.21,-24.87,12.69,7.56,0.84,-0.09,-0.54,0.01,0.106,0.2825599999999988,0.5371000000000002,-0.1511180000000003,False,0.0002733029999999992,0.0004286160000000006,-0.00014639400000000094,0.0,0.0,0.0
107,8.96,-1.15,3.83,0.33,0.03,0.21,-24.87,12.69,7.56,0.84,-0.09,-0.53,0.01,0.107,0.3694759999999988,0.41876500000000016,-0.06611300000000142,True,0.0,0.0,0.0,2.7330299999999944e-07,4.28616000000001e-07,-1.4639400000000107e-07
108,8.99,-1.39,3.94,0.33,0.02,0.22,-24.87,12.69,7.56,0.84,-0.09,-0.53,0.01,0.108,0.2654509999999992,0.20280500000000024,0.04521399999999787,True,0.0,0.0,0.0,2.7330299999999944e-07,4.28616000000001e-07,-1.4639400000000107e-07
