Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW
37878,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.46,-1.06,-7.75,-33.06,0.06,-0.07,0.94,0.34
37878,00:02:44,IMU2,0.0,0.0,0.0,0.69,-2.91,9.35,-18.19,-6.12,-22.12,-0.09,0.12,-0.89,0.43
37878,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-12.56,-32.38,-13.25,0.02,0.05,-0.99,0.16
37879,00:02:44,IMU1,0.0,0.0,0.0,1.49,-0.88,9.54,-1.06,-7.75,-33.06,0.06,-0.07,0.94,0.34
37879,00:02:44,IMU2,0.0,0.0,0.0,0.69,-2.91,9.35,-18.19,-6.12,-22.12,-0.09,0.12,-0.89,0.43
37879,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-12.56,-32.38,-13.25,0.02,0.05,-0.99,0.16
37880,00:02:44,IMU1,0.0,0.0,0.0,1.49,-0.88,9.54,-1.06,-7.0,-28.69,0.06,-0.07,0.94,0.34
37880,00:02:44,IMU2,0.0,0.0,0.0,0.69,-2.91,9.35,-18.19,-6.12,-22.12,-0.09,0.12,-0.89,0.43
37880,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-12.56,-32.38,-13.25,0.02,0.05,-0.99,0.16
37881,00:02:44,IMU1,0.01,-0.01,0.0,1.49,-0.88,9.54,-1.06,-7.0,-28.69,0.06,-0.07,0.94,0.34
37881,00:02:44,IMU2,0.0,0.0,0.0,0.69,-2.91,9.35,-18.19,-6.12,-22.12,-0.09,0.12,-0.89,0.43
37881,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-12.56,-32.38,-13.25,0.02,0.05,-0.99,0.16
37882,00:02:44,IMU1,0.01,-0.01,0.0,1.49,-0.88,9.54,-1.06,-7.0,-28.69,0.06,-0.07,0.94,0.34
37882,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-18.19,-6.12,-22.12,-0.09,0.12,-0.89,0.43
37882,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-12.56,-32.38,-13.25,0.02,0.05,-0.99,0.16
37883,00:02:44,IMU1,0.0,0.0,0.0,1.49,-0.88,9.54,-1.06,-7.0,-28.69,0.06,-0.07,0.94,0.34
37883,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-17.81,-6.88,-23.31,-0.09,0.12,-0.89,0.43
37883,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-12.56,-32.38,-13.25,0.02,0.05,-0.99,0.16
37884,00:02:44,IMU1,0.0,0.0,0.0,1.49,-0.88,9.54,-1.06,-7.0,-28.69,0.06,-0.07,0.94,0.34
37884,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-17.81,-6.88,-23.31,-0.09,0.12,-0.89,0.43
37884,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-12.56,-32.38,-13.25,0.02,0.05,-0.99,0.16
37885,00:02:44,IMU1,0.0,0.0,0.0,1.49,-0.88,9.54,-1.06,-7.0,-28.69,0.06,-0.07,0.94,0.34
37885,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-17.81,-6.88,-23.31,-0.09,0.12,-0.89,0.43
37885,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-12.94,-31.31,-13.62,0.02,0.05,-0.99,0.16
37886,00:02:44,IMU1,0.0,0.0,0.0,1.49,-0.88,9.54,-1.06,-7.0,-28.69,0.06,-0.07,0.94,0.34
37886,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-17.81,-6.88,-23.31,-0.09,0.12,-0.89,0.43
37886,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-12.94,-31.31,-13.62,0.02,0.05,-0.99,0.16
37887,00:02:44,IMU1,0.0,0.0,0.0,1.38,-0.88,9.5,-1.06,-7.0,-28.69,0.06,-0.07,0.94,0.34
37887,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-17.81,-6.88,-23.31,-0.09,0.12,-0.89,0.43
37887,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-12.94,-31.31,-13.62,0.02,0.05,-0.99,0.16
37888,00:02:44,IMU1,0.0,0.0,0.0,1.38,-0.88,9.5,-1.06,-7.0,-28.69,0.06,-0.07,0.94,0.34
37888,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-17.81,-6.88,-23.31,-0.09,0.12,-0.89,0.43
37888,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-12.94,-31.31,-13.62,0.02,0.05,-0.99,0.16
37889,00:02:44,IMU1,0.0,0.0,0.0,1.38,-0.88,9.5,-1.81,-5.5,-31.5,0.06,-0.07,0.94,0.34
37889,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-17.81,-6.88,-23.31,-0.09,0.12,-0.89,0.43
37889,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-12.94,-31.31,-13.62,0.02,0.05,-0.99,0.16
37890,00:02:44,IMU1,0.0,0.0,0.0,1.38,-0.88,9.5,-1.81,-5.5,-31.5,0.06,-0.07,0.94,0.34
37890,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.87,9.38,-17.81,-6.88,-23.31,-0.09,0.12,-0.89,0.43
37890,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-12.94,-31.31,-13.62,0.02,0.05,-0.99,0.16
37891,00:02:44,IMU1,0.0,0.0,0.0,1.38,-0.88,9.5,-1.81,-5.5,-31.5,0.06,-0.07,0.94,0.34
37891,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.87,9.38,-18.19,-5.44,-26.81,-0.09,0.12,-0.89,0.43
37891,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-12.94,-31.31,-13.62,0.02,0.05,-0.99,0.16
37892,00:02:44,IMU1,0.0,0.0,0.0,1.38,-0.88,9.5,-1.81,-5.5,-31.5,0.06,-0.07,0.94,0.34
37892,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.87,9.38,-18.19,-5.44,-26.81,-0.09,0.12,-0.89,0.43
37892,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-12.94,-31.31,-13.62,0.02,0.05,-0.99,0.16
37893,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.46,-1.81,-5.5,-31.5,0.06,-0.07,0.94,0.34
37893,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.87,9.38,-18.19,-5.44,-26.81,-0.09,0.12,-0.89,0.43
