Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW,DeviceName
7552,00:00:33,IMU3,0.00,-0.00,0.01,-1.30,0.08,9.50,22.31,-5.75,-22.06,-0.05,0.04,0.82,0.57,Left_Leg
7553,00:00:33,IMU1,0.00,0.00,0.00,0.34,-5.82,7.89,12.56,21.06,-24.94,-0.22,-0.22,0.62,0.72,Left_Leg
7553,00:00:33,IMU2,0.00,0.00,0.00,5.21,-3.98,7.70,-14.56,25.50,-27.06,-0.14,-0.32,0.21,0.91,Left_Leg
7553,00:00:33,IMU3,0.00,-0.00,0.01,-1.30,0.08,9.50,22.31,-5.75,-22.06,-0.05,0.04,0.82,0.57,Left_Leg
7554,00:00:33,IMU1,0.00,0.00,0.00,0.34,-5.82,7.85,12.56,21.06,-24.94,-0.22,-0.22,0.62,0.72,Left_Leg
7554,00:00:33,IMU2,0.00,0.00,0.00,5.21,-3.98,7.70,-14.56,25.50,-27.06,-0.14,-0.32,0.21,0.91,Left_Leg
7554,00:00:33,IMU3,0.00,0.00,0.00,-1.30,0.08,9.50,22.31,-5.75,-22.06,-0.05,0.04,0.82,0.57,Left_Leg
7555,00:00:33,IMU1,0.00,0.00,0.00,0.34,-5.82,7.85,12.94,19.94,-26.12,-0.22,-0.22,0.62,0.72,Left_Leg
7555,00:00:33,IMU2,0.00,0.00,0.00,5.25,-4.02,7.73,-14.56,25.50,-27.06,-0.14,-0.32,0.21,0.91,Left_Leg
7555,00:00:33,IMU3,0.00,0.00,0.00,-1.30,0.08,9.50,22.31,-5.75,-22.06,-0.05,0.04,0.82,0.57,Left_Leg
7556,00:00:33,IMU1,0.00,0.00,0.00,0.34,-5.82,7.85,12.94,19.94,-26.12,-0.22,-0.22,0.62,0.72,Left_Leg
7556,00:00:33,IMU2,0.00,0.00,0.00,5.25,-4.02,7.73,-13.81,26.94,-25.88,-0.14,-0.32,0.21,0.91,Left_Leg
7556,00:00:33,IMU3,0.00,0.00,0.00,-1.27,0.04,9.58,22.31,-5.75,-22.06,-0.05,0.04,0.82,0.57,Left_Leg
7557,00:00:33,IMU1,0.00,0.00,0.00,0.34,-5.82,7.85,12.94,19.94,-26.12,-0.22,-0.22,0.62,0.72,Left_Leg
7557,00:00:33,IMU2,0.00,0.00,0.00,5.25,-4.02,7.73,-13.81,26.94,-25.88,-0.14,-0.32,0.21,0.91,Left_Leg
7557,00:00:33,IMU3,0.00,0.00,0.00,-1.27,0.04,9.58,21.25,-7.56,-22.06,-0.05,0.04,0.82,0.57,Left_Leg
7558,00:00:33,IMU1,0.00,0.00,0.00,0.30,-5.79,7.85,12.94,19.94,-26.12,-0.22,-0.22,0.62,0.72,Left_Leg
7558,00:00:33,IMU2,0.00,0.00,0.00,5.25,-4.02,7.73,-13.81,26.94,-25.88,-0.14,-0.32,0.21,0.91,Left_Leg
7558,00:00:33,IMU3,0.00,-0.00,-0.00,-1.27,0.04,9.58,21.25,-7.56,-22.06,-0.05,0.04,0.82,0.57,Left_Leg
7369,00:00:34,IMU4,-0.00,-0.00,-0.00,-0.11,6.19,7.45,36.81,-34.19,-35.69,0.22,0.26,0.72,0.61,Right_Leg
